,precision,recall,f1-score,support
anger,0.46048109965635736,0.366120218579235,0.4079147640791476,366.0
disgust,0.37658227848101267,0.3707165109034268,0.37362637362637363,321.0
fear,0.5834896810506567,0.5695970695970696,0.5764596848934198,546.0
happy,0.4678492239467849,0.5184275184275184,0.49184149184149184,407.0
sad,0.371868978805395,0.5146666666666667,0.4317673378076063,375.0
surprise,0.6134751773049646,0.4588859416445623,0.5250379362670713,377.0
accuracy,0.4770066889632107,0.4770066889632107,0.4770066889632107,0.4770066889632107
macro avg,0.47895773987419515,0.4664023209697465,0.4677745980858517,2392.0
weighted avg,0.4887750847669844,0.4770066889632107,0.47826479864919175,2392.0
